User,ID,Name,Model,Version,LastUpdate,Type,sim,lastPicDays,Battery,Signal,PlanName,MaxThisMonth,ThisMonth,Left,Start,End,DaysLeft,AutoRenew,Multishot,Delay
e.beatty27@icloud.com,5f24bce3ac7020001581e0d9,G003,CELL-LINK,V1.01.01 REV 1,9/25/2021,LTE,8944501010191085236,77,100,-115,Basic,250,0,250,8/30/2021 12:25:22 PM,9/17/2022 12:50:44 AM,278,False,0,
e.beatty27@icloud.com,5f24bd4ea05ba800153cc24a,craby,CELL-LINK,V1.01.01 REV 1,12/12/2021,LTE,8944500612192608188,5,70,-106,Basic,250,25,225,8/30/2021 12:25:22 PM,9/17/2022 12:50:44 AM,278,False,0,
e.beatty27@icloud.com,5f4140b949f177001506821c,Far south ,LINK-MICRO-V,V1.11.06 HW:1,12/12/2021,LTE,8944501010190852453,4,96,-115,Standard,1000,242,758,11/16/2021 1:38:15 AM,12/16/2021 1:38:15 AM,3,True,2,instant
e.beatty27@icloud.com,5f41413628683a001784dca2,Bad #1,LINK-MICRO-V,V1.17.12-178 Rev:1,1/18/2021,LTE,8944501010190849848,-,18,-115,Basic,250,0,250,8/30/2021 12:25:22 PM,9/17/2022 12:50:44 AM,278,False,1,instant
e.beatty27@icloud.com,60fb3ea173505d0015c96d3e,Open pinch,LINK-MICRO-LTE-V,V1.17.12-178 Rev:2,12/12/2021,LTE,89148000006661436913,12,70,-109,Basic,250,250,0,11/16/2021 1:40:44 AM,12/16/2021 1:40:44 AM,3,True,2,10s
e.beatty27@icloud.com,60fb3ef0147f2b0014507b5e,north 90,LINK-MICRO-LTE-V,V1.17.12-178 Rev:2,12/11/2021,LTE,89148000006661433860,3,100,-93,Basic,250,155,95,8/22/2021 11:46:08 PM,9/17/2022 12:50:44 AM,278,False,2,instant
e.beatty27@icloud.com,615891b8a65aee00155ead3a,south box cove,CELL-LINK,V1.05.02-5-g93dfb16 REV 1,11/26/2021,LTE,89148000006194308613,32,91,-92,Basic,250,0,250,10/2/2021 5:07:04 PM,9/17/2022 12:50:44 AM,278,False,0,
e.beatty27@icloud.com,615891f7c35ac200157b7818,bittle neck trail,CELL-LINK,V1.05.02-5-g93dfb16 REV 1,11/15/2021,LTE,89148000006534743347,54,87,-112,Basic,250,0,250,10/2/2021 5:08:07 PM,9/17/2022 12:50:44 AM,278,False,0,
e.beatty27@icloud.com,6158921dde7c9a0014a85521,CELL-LINK-NJQV,CELL-LINK,V1.05.02-5-g93dfb16 REV 1,12/4/2021,LTE,89148000006534741101,63,0,-106,Basic,250,0,250,10/2/2021 5:08:45 PM,9/17/2022 12:50:44 AM,278,False,0,
e.beatty27@icloud.com,6158923c9b390f00146154e4,CELL-LINK-NJQC,CELL-LINK,V1.05.02-5-g93dfb16 REV 1,10/2/2021,LTE,89148000006533699755,-,100,-113,Basic,250,0,250,10/2/2021 5:09:16 PM,9/17/2022 12:50:44 AM,278,False,0,
e.beatty27@icloud.com,6158931a63b57e0015875aec,front woods ,CELL-LINK,V1.05.02-5-g93dfb16 REV 1,10/23/2021,LTE,89148000006405305648,69,85,-98,Basic,250,0,250,10/2/2021 5:12:58 PM,9/17/2022 12:50:44 AM,278,False,0,
e.beatty27@icloud.com,6158a33fad119e00156c03e0,north box cove,LINK-MICRO-LTE-V,V1.18.13-3 Rev:2,12/12/2021,LTE,8944502408208079201,2,82,-108,Basic,250,76,174,10/2/2021 6:21:51 PM,9/17/2022 12:50:44 AM,278,False,2,10s
M17BEHRMAN@GMAIL.COM,5f160e35167883692753cf24,.,LINK-MICRO-V,V1.18.13-8 Rev:1,10/12/2021,LTE,8944500209190482607,61,65,-77,Basic,250,0,250,11/17/2021 4:36:20 PM,12/17/2021 4:36:20 PM,5,True,1,15min
M17BEHRMAN@GMAIL.COM,5f1618bddb89d3001531f18c,2. Denmark slough,LINK-MICRO-V,V1.18.13-8 Rev:1,12/11/2021,LTE,8944501001196522836,3,70,-102,Basic,250,32,218,7/31/2021 12:31:30 PM,8/26/2022 4:07:44 PM,256,False,1,15min
M17BEHRMAN@GMAIL.COM,5f161c8652c8fa001764c17c,3. Grandpa's tree,LINK-MICRO-LTE,V1.18.13-8 Rev:2,11/19/2021,LTE,8944501010190877864,24,0,-104,Basic,250,0,250,12/4/2021 2:22:46 PM,1/4/2022 2:22:46 PM,22,True,1,15min
M17BEHRMAN@GMAIL.COM,5f16254d52c8fa001764e405,4. Honey hole,LINK-MICRO-V,V1.18.13-8 Rev:1,12/3/2021,LTE,8944500209190484132,8,43,-89,Basic,250,0,250,10/7/2021 1:57:53 PM,8/26/2022 4:07:44 PM,256,False,1,15min
M17BEHRMAN@GMAIL.COM,5f162d9adb89d30015324270,5. Captain Hill South,LINK-MICRO-V,V1.18.13-8 Rev:1,12/12/2021,LTE,8944500209190485386,2,72,-96,Basic,250,42,208,12/5/2021 11:04:14 AM,1/5/2022 11:04:14 AM,23,True,1,15min
M17BEHRMAN@GMAIL.COM,5f6a389e909233001434e72a,6. Stolen,LINK-MICRO-LTE-V,V1.18.13-8 Rev:2,10/23/2021,LTE,8944501007206097685,50,85,-95,Basic,250,0,250,7/31/2021 12:31:30 PM,8/26/2022 4:07:44 PM,256,False,1,15min
M17BEHRMAN@GMAIL.COM,5f6a4cc9ba96bc00143b17a0,7. Creek crossing,LINK-MICRO-LTE-V,V1.18.13-8 Rev:2,12/12/2021,LTE,8944501007206097859,4,68,-104,Basic,250,16,234,11/17/2021 1:57:41 PM,12/17/2021 1:57:41 PM,4,True,1,15min
M17BEHRMAN@GMAIL.COM,610ee0c3c6e4870014608fac,8. SE Rope Denmark ,LINK-MICRO-LTE-V,V1.18.13-3 Rev:2,12/12/2021,LTE,89148000006661115822,2,68,-94,Basic,250,40,210,8/7/2021 7:36:35 PM,8/26/2022 4:07:44 PM,256,False,1,15min
M17BEHRMAN@GMAIL.COM,610ee2680ed060001499c86e,9. SE denmark,LINK-MICRO-LTE-V,V1.18.13-3 Rev:2,12/12/2021,LTE,89148000006661115319,3,74,-102,Basic,250,35,215,8/7/2021 7:43:36 PM,8/26/2022 4:07:44 PM,256,False,1,15min
M17BEHRMAN@GMAIL.COM,615619bad10a1000158915de,10. Corner cut,LINK-MICRO-LTE-V,V1.18.13-29 Rev:2,12/12/2021,LTE,89148000006661099679,2,72,-114,Basic,250,77,173,9/30/2021 8:10:34 PM,8/26/2022 4:07:44 PM,256,False,1,15min
M17BEHRMAN@GMAIL.COM,61561d23a65aee0015543271,11. S. East corner,LINK-MICRO-LTE-V,V1.18.13-29 Rev:2,12/12/2021,LTE,89148000006661101210,2,66,-103,Standard,1000,125,875,11/18/2021 8:11:59 PM,12/18/2021 8:11:59 PM,6,False,1,15min
M17BEHRMAN@GMAIL.COM,619d5ff2496da40014439d2b,LINK-MICRO-LTE-SGE6,LINK-MICRO-LTE,1.3.0-3-g9514c7d,11/23/2021,LTE,89148000006687288157,-,12,-94,Basic,250,0,250,11/23/2021 9:41:06 PM,8/26/2022 4:07:44 PM,256,False,1,15min
